symbol,pattern,entry_date,exit_date,pnl_pct,pnl_dollars,capital_after,shares,entry_price
EXPD,Falling Wedge,2024-09-24 04:00:00+00:00,2024-10-04 04:00:00+00:00,-2.9275283670176013,-38.530376445388235,6610.693354834673,10.917051115421181,120.55821146828576
BKNG,Falling Wedge,2024-09-24 04:00:00+00:00,2024-09-26 04:00:00+00:00,9.890605168105862,130.17422638608033,6740.867581220754,8.691299491774467,151.43191857887763
CMI,Falling Wedge,2024-09-24 04:00:00+00:00,2024-09-25 04:00:00+00:00,4.715961904371399,62.0686684114537,6802.936249632207,4.395135647452443,299.4538195302135
GLW,Falling Wedge,2024-09-24 04:00:00+00:00,2024-09-25 04:00:00+00:00,10.524659316253576,138.51926764686908,6941.455517279076,33.18058231252917,39.6659752558366
COP,Double Top Breakout,2024-10-08 04:00:00+00:00,2024-10-15 04:00:00+00:00,-4.608376934837824,-63.9776870000633,6877.477830279013,13.111904307596847,105.88020404110632
CCL,Falling Wedge,2024-10-08 04:00:00+00:00,2024-10-09 04:00:00+00:00,13.263526689390583,184.13636103329708,7061.61419131231,78.94991644239181,17.584453106658113
CAH,Falling Wedge,2024-10-08 04:00:00+00:00,2024-10-09 04:00:00+00:00,2.866059984483284,39.78925578428855,7101.403447096599,12.852065136137105,108.0208580294426
IVZ,Inverse Head & Shoulders,2024-10-08 04:00:00+00:00,2024-10-18 04:00:00+00:00,7.826491735516124,108.65448847687497,7210.0579355734735,86.36982297987022,16.07379818040587
AFL,Falling Wedge,2024-10-08 04:00:00+00:00,2024-10-11 04:00:00+00:00,2.699864994819889,37.481985528402326,7247.539921101876,13.18459387223219,105.2964631985872
VTR,Falling Wedge,2024-10-22 04:00:00+00:00,2024-10-23 04:00:00+00:00,2.6149821374806956,37.90437486871931,7285.444295970595,24.183368820842364,59.93821600947181
MRSH,Falling Wedge,2024-10-22 04:00:00+00:00,2024-10-23 04:00:00+00:00,1.6671912605447805,24.16607043382091,7309.610366404416,6.8582736010753935,211.35172909886373
LNT,Ascending Triangle,2024-10-22 04:00:00+00:00,2024-11-01 04:00:00+00:00,-2.7064213002881004,-39.22979283431691,7270.380573570099,25.55093735756975,56.73012946395652
JPM,Falling Wedge,2024-10-22 04:00:00+00:00,2024-10-25 04:00:00+00:00,4.290961138667136,62.19782430477366,7332.578397874872,6.953472715700237,208.45813933339136
KVUE,Falling Wedge,2024-10-22 04:00:00+00:00,2024-10-24 04:00:00+00:00,3.9823636893216845,57.724679637410915,7390.303077512283,71.41511964057194,20.2969341998678
GOOG,Ascending Triangle,2024-11-05 05:00:00+00:00,2024-11-07 05:00:00+00:00,6.151432426037397,90.92189997850605,7481.22497749079,8.76175467686664,168.69459029764084
CDNS,Falling Wedge,2024-11-05 05:00:00+00:00,2024-11-13 05:00:00+00:00,8.372783206745963,123.75481100031571,7604.979788491105,5.250291028710471,281.5197495567183
COP,Falling Wedge,2024-11-05 05:00:00+00:00,2024-11-06 05:00:00+00:00,5.237769970308399,77.41741506174316,7682.397203552848,14.705723950597099,100.50920447493118
STZ,Falling Wedge,2024-11-05 05:00:00+00:00,2024-11-06 05:00:00+00:00,-2.6584637181000708,-39.293705194659395,7643.1034983581885,6.531290827162804,226.3045169195944
